,Donor ID,Project ID,Donation Amount,Donor City,Project Title,Project Type,Project Resource Category,Project Subject Category Tree,Project Subject Subcategory Tree
1153848,59f37480ef507fb5305e23e69d3bbe48,2d3a6de18e176b79196e17b93111a208,50.0,Oakland,All I Want for Christmas are a Few Supplies for my Kids...,Teacher-Led,Supplies,"Literacy & Language, Math & Science","Literature & Writing, Mathematics"
1153852,59f37480ef507fb5305e23e69d3bbe48,4817ddcef298e5c4dc16c1e3cc98e168,50.0,Oakland,Loads of Love for Literacy,Teacher-Led,Supplies,Literacy & Language,Literacy
1153855,59f37480ef507fb5305e23e69d3bbe48,4eabbc113f2d1c90d9ed088c28edebce,25.0,Oakland,FUNtastic Learning In First Grade,Teacher-Led,Supplies,"Literacy & Language, Math & Science","Literacy, Mathematics"
1153868,59f37480ef507fb5305e23e69d3bbe48,5839313defa4cb9145a28b811f5e4bba,25.0,Oakland,"We Have Recess, But We Need Some Supplies",Teacher-Led,Supplies,Health & Sports,"Gym & Fitness, Health & Wellness"
1153879,59f37480ef507fb5305e23e69d3bbe48,5df6791ded6516b35b0af865f83939b3,50.0,Oakland,We Need To Read...More Books!,Teacher-Led,Books,Literacy & Language,Literacy
1153884,59f37480ef507fb5305e23e69d3bbe48,908c748fddf418d052eb73ea9c8fcac9,100.0,Oakland,Book Bin Bonanza! ,Teacher-Led,"Reading Nooks, Desks & Storage",Literacy & Language,Literacy
1153885,323fe8c803ecd9071eb1e6591d3a4609,908c748fddf418d052eb73ea9c8fcac9,50.0,Oakland,Book Bin Bonanza! ,Teacher-Led,"Reading Nooks, Desks & Storage",Literacy & Language,Literacy
1153888,59f37480ef507fb5305e23e69d3bbe48,a5c04d239f7eaf1882ebda01cb26bc23,100.0,Oakland,Second Graders Love Series Characters,Teacher-Led,Books,Literacy & Language,"ESL, Literacy"
1153889,2e3d49b3665ec8942197c7ee37321091,a5c04d239f7eaf1882ebda01cb26bc23,100.0,Oakland,Second Graders Love Series Characters,Teacher-Led,Books,Literacy & Language,"ESL, Literacy"
1153890,b15d6a13b5d0902289e7f67871623aea,a5c04d239f7eaf1882ebda01cb26bc23,20.0,Oakland,Second Graders Love Series Characters,Teacher-Led,Books,Literacy & Language,"ESL, Literacy"
1153891,97d0f679aed148fa2864c2fdeb4fe61e,a5c04d239f7eaf1882ebda01cb26bc23,258.92,Oakland,Second Graders Love Series Characters,Teacher-Led,Books,Literacy & Language,"ESL, Literacy"
1153892,59f37480ef507fb5305e23e69d3bbe48,b8aad0b318d6b0f7514218366f0f1648,25.0,Oakland,Help Us Share Our Work With Our Families!,Teacher-Led,Supplies,Literacy & Language,Literacy
1153903,59f37480ef507fb5305e23e69d3bbe48,ca089bc3f019bdd474967ad3cf4ccb8f,100.0,Oakland,The Race Is On To Save Our Planet Through Technology!,Teacher-Led,Technology,Math & Science,"Applied Sciences, Health & Life Science"
1153904,59f37480ef507fb5305e23e69d3bbe48,e9d7689c670efd9dec3fdefe699fe2c0,50.0,Oakland,Technology for Readers!,Teacher-Led,Technology,Literacy & Language,"Literacy, Literature & Writing"
1153923,59f37480ef507fb5305e23e69d3bbe48,eeba0bfc29cdcb202847e83a1f88f378,50.0,Oakland,"Needy, Needy Tables for First Graders",Teacher-Led,Other,Literacy & Language,"ESL, Literacy"
1153930,59f37480ef507fb5305e23e69d3bbe48,f2797ab63f25740183dab120752726f4,25.0,Oakland,Paint The World With Watercolor,Teacher-Led,Supplies,Music & The Arts,Visual Arts
1153936,59f37480ef507fb5305e23e69d3bbe48,f4045d012d780ff3d02a1669f7be8ece,25.0,Oakland,It's Time For Kids,Teacher-Led,Other,"Literacy & Language, History & Civics","ESL, History & Geography"
1153941,59f37480ef507fb5305e23e69d3bbe48,f90663e395bb265a28d55d05e7d7ae22,296.92,Oakland,Hungry to Learn!,Teacher-Led,"Food, Clothing & Hygiene","Warmth, Care & Hunger","Warmth, Care & Hunger"
1154616,10d9b9642162bc1e2d33a13f9b1e8dac,0089118ee1816d34fd680c8b12e0d31a,50.0,Oakland,Science in Colors!,Teacher-Led,Supplies,Math & Science,"Applied Sciences, Environmental Science"
1154622,10d9b9642162bc1e2d33a13f9b1e8dac,8edd414d9266690df9fd1b6e3b799efe,50.0,Oakland,Learn About the Human Body,Teacher-Led,Supplies,Math & Science,"Applied Sciences, Health & Life Science"
1154626,10d9b9642162bc1e2d33a13f9b1e8dac,f05fef081bc9f49669a7b2135d9975e3,50.0,Oakland,Transition to NGSS: Integration of Math in Science,Teacher-Led,Supplies,Math & Science,"Applied Sciences, Environmental Science"
1154746,89b336d7b211e52446298311fbafe3d8,00e0fd8cce84796a9585b5f7729d8861,75.47,Oakland,Health Assessment Tools for our Cool School,Teacher-Led,Supplies,"Health & Sports, Special Needs","Health & Wellness, Special Needs"
1154918,efe2a739c6ae51585a2f41e48ca0a2a5,1b5bfdb03815d5af6e9c277250090cbf,78.85,Oakland,We Love Reading Nonfiction!,Teacher-Led,Other,"Math & Science, Literacy & Language","Environmental Science, Literacy"
1155044,4aa390388757144d86934a387f595a5a,3193f79bfdf957cbf78fca5fd4f64ce6,50.0,Oakland,Engaged Learners Need Comfortable Place to Learn,Teacher-Led,Other,Literacy & Language,Literacy
1155765,95d940733c80a90874ab380e2aeef785,9f710613bee68e0b6fd2ed1dfa913568,56.22,Oakland,Math Made Fun!,Teacher-Led,Other,Math & Science,Mathematics
1156901,7c4e0e1cbb74153fa1889f681e937df4,48cdd878396c8005e7454cf38ac8f764,10.0,Oakland,Fostering the Environment for Future Scientists,Teacher-Led,Technology,Math & Science,"Environmental Science, Health & Life Science"
1156903,9228c57f809a99a9f233449a8bf25c05,48cdd878396c8005e7454cf38ac8f764,20.0,Oakland,Fostering the Environment for Future Scientists,Teacher-Led,Technology,Math & Science,"Environmental Science, Health & Life Science"
1156904,67d885f50755b4bf1e17024bd40722b8,48cdd878396c8005e7454cf38ac8f764,40.0,Oakland,Fostering the Environment for Future Scientists,Teacher-Led,Technology,Math & Science,"Environmental Science, Health & Life Science"
1156909,aa91b1e233aaede4936063545b8d4a2d,48cdd878396c8005e7454cf38ac8f764,5.0,Oakland,Fostering the Environment for Future Scientists,Teacher-Led,Technology,Math & Science,"Environmental Science, Health & Life Science"
1157222,555f4e179477821c4b9cec45e80e389d,ab00b9cc70cd58063c409f228db6fce4,440.0,Oakland,Alternate Learning Supplies for Special Needs Classroom,Teacher-Led,Supplies,"Math & Science, Special Needs","Mathematics, Special Needs"
1158418,db1d43fd7747228d936b2f6bf6957b2f,90455dc6332599a7f56ecdddf915e8a2,20.0,Oakland,Ms. Trager's First Grade iPad Initiative,Teacher-Led,Technology,"Literacy & Language, Special Needs","Literacy, Special Needs"
1158751,dddb8b1beadf0fda60c6374da17f1f8c,5ff44cea8cf5754507bbea64a85b7df3,50.0,Oakland,More Than Just a Pencil ,Teacher-Led,Classroom Basics,Math & Science,Applied Sciences
1159419,a0b0233234646384adab180423fc26c6,0680f8825108c6e1d123886a575a62bf,40.0,Oakland,Reading is Fundamental,Teacher-Led,Books,"Literacy & Language, Special Needs","Literacy, Special Needs"
1159685,6a7e0c5e58f73f506b9514c0f4a5e015,1b67cb92c1841da268cb0bd2eeb3d795,50.0,Oakland,Don't Hang Up! It's Time to Read!,Teacher-Led,Books,Literacy & Language,"ESL, Literacy"
1160079,c80dcef117bf45f28c2ce4f078648d17,352bd86232002a176c731ec4250ca619,50.0,Oakland,Books for Great Students!,Teacher-Led,Books,Literacy & Language,Literacy
1160145,93fcbbd58b3285d88000b3260bb475b9,3b730f6891e99cb0b0b078828382ea0c,25.0,Oakland,Captivating Books for Growing Readers,Teacher-Led,Books,Literacy & Language,"Literacy, Literature & Writing"
1160148,a78e131439e3297754adf7679f5b44c5,3b730f6891e99cb0b0b078828382ea0c,25.0,Oakland,Captivating Books for Growing Readers,Teacher-Led,Books,Literacy & Language,"Literacy, Literature & Writing"
1160621,b3f40971b673694ff78b3388ec88e2e0,67e191dbe2759947fd73b1412fe379f6,10.0,Oakland,Shel Silverstein Poetry Fun!,Teacher-Led,Books,"Literacy & Language, Special Needs","Literacy, Special Needs"
1160777,9b3926dbf8ab53a64ef88433ad7bebc1,7396393f56d6c7950060dee000c4d4f6,100.0,Oakland,For the Love of Reading,Teacher-Led,Books,"Literacy & Language, Special Needs","Literacy, Special Needs"
1160778,0878b3e1ffcababb44118960e1fd954a,7396393f56d6c7950060dee000c4d4f6,100.0,Oakland,For the Love of Reading,Teacher-Led,Books,"Literacy & Language, Special Needs","Literacy, Special Needs"
1160781,8e24aff5b8fb282a8239358d1cffe684,7396393f56d6c7950060dee000c4d4f6,10.0,Oakland,For the Love of Reading,Teacher-Led,Books,"Literacy & Language, Special Needs","Literacy, Special Needs"
1160784,0d42be679bc9b021119d06aaa7a57c48,7396393f56d6c7950060dee000c4d4f6,20.0,Oakland,For the Love of Reading,Teacher-Led,Books,"Literacy & Language, Special Needs","Literacy, Special Needs"
1160788,c8cd4e40ce8982704d9c1d5a2fb187b9,7396393f56d6c7950060dee000c4d4f6,36.0,Oakland,For the Love of Reading,Teacher-Led,Books,"Literacy & Language, Special Needs","Literacy, Special Needs"
1161139,3829c128f5d6677602e54388684a788e,8e3ae57ba15612cc64d4c6e57af56c5b,89.54,Oakland,Reading Rocks!,Teacher-Led,Books,Literacy & Language,Literacy
1161621,5f21d817a6ed5391e7432e8bf9159c10,c0cc989ace4d5b05c6d0162a0e8f91ee,6.0,Oakland,Exploring the World Through Text,Teacher-Led,Books,Literacy & Language,"Literacy, Literature & Writing"
1161981,7c4e0e1cbb74153fa1889f681e937df4,dc092e43e4a9ca4b43b3ee95d779dfaa,5.0,Oakland,"""I Can Read!"" (cont.)",Teacher-Led,Books,Literacy & Language,Literacy
1162197,4302d039621886a856c08ac42b42a46c,ef72e2f0676e7cdc21e2fd79a5717120,50.0,Oakland,A Bloody Affair: Macbeth Graphic Novels,Teacher-Led,Books,"Literacy & Language, Music & The Arts","Literacy, Performing Arts"
1162252,dace1dcf11a131ed837722dab180cb45,f418fb909212c37d42d8f3ef3c7a3053,50.0,Oakland,"Bringing Stories of Family: Our Schools, Our Homes",Teacher-Led,Books,Literacy & Language,Literacy
1162517,53ec308c9beceb0984eedeb6438d0b6f,0924206277f38110150416c9be57f246,30.0,Oakland,Leap Readers for Literacy,Teacher-Led,Technology,Literacy & Language,Literacy
1162575,89a6e0a6f7f1ac572a0c86f2f193efa0,111c080f9ea248f60c0d1d3838177e55,15.46,Oakland,Materials For Our Room!,Teacher-Led,Supplies,"History & Civics, Literacy & Language","Civics & Government, Literature & Writing"
1164848,d1c1eface8ec338ef9f00531a87e85c0,06f4be6534dc2470366afc22128a2a9b,25.0,Oakland,Fishy Faces and Friends,Teacher-Led,Technology,Math & Science,Environmental Science
1165281,5391ab5a25edaa1018e4c3fc97066446,ec53b1a5260c1931f8bb368e4093ca86,10.0,Oakland,iLearn With iPad,Teacher-Led,Technology,"Literacy & Language, Math & Science","Literacy, Mathematics"
1165811,a2343584bb582015fe8cc6e38976e488,008a9776ae2e6d7a23bfa8cd92fea7a8,99.0,Oakland,White Water Rafting Adventure!,Teacher-Led,Trips,"Applied Learning, Math & Science","Character Education, Environmental Science"
1165812,aebfe35e470e9ec557d9f493af816571,008a9776ae2e6d7a23bfa8cd92fea7a8,10.0,Oakland,White Water Rafting Adventure!,Teacher-Led,Trips,"Applied Learning, Math & Science","Character Education, Environmental Science"
1165814,e1200eebe0f43e59cb4252b9a7767e35,008a9776ae2e6d7a23bfa8cd92fea7a8,50.0,Oakland,White Water Rafting Adventure!,Teacher-Led,Trips,"Applied Learning, Math & Science","Character Education, Environmental Science"
1165833,391026dea546747c9b9833fd2bfe8936,048f495805242e04d58cdf188f20156d,174.0,Oakland,A Kindergarten Outdoor Garden Classroom!,Teacher-Led,Lab Equipment,Math & Science,"Environmental Science, Mathematics"
1165853,d82ac8b1243a23b1f6784f7acf9e46de,096c5e4b7bd40e910add4fb91861812a,75.0,Oakland,Book Group Banter,Teacher-Led,Books,"Literacy & Language, History & Civics","Literacy, Social Sciences"
1165855,0d863ee5e396ea212ee9a1cb02f4c359,096c5e4b7bd40e910add4fb91861812a,50.0,Oakland,Book Group Banter,Teacher-Led,Books,"Literacy & Language, History & Civics","Literacy, Social Sciences"
1165858,b14805d076a07259b2f2c3a9574471d4,096c5e4b7bd40e910add4fb91861812a,25.0,Oakland,Book Group Banter,Teacher-Led,Books,"Literacy & Language, History & Civics","Literacy, Social Sciences"
1165860,c4c3dc4c32fc340efd1eff41c18fd991,096c5e4b7bd40e910add4fb91861812a,50.0,Oakland,Book Group Banter,Teacher-Led,Books,"Literacy & Language, History & Civics","Literacy, Social Sciences"
1165866,cbe812c6184bc6c15937a074ea20935f,09e70fb2dd8b0d0f36c6207b3f761e4c,200.0,Oakland,Diverse Series Books for Second Graders!,Teacher-Led,Books,Literacy & Language,Literacy
1165927,fdc8bb788ae9a6885b559b0720150b55,118c332b6ada7b6406a88434d0287bbb,10.0,Oakland,Building Book Worms with a Classroom Library!,Teacher-Led,Books,Literacy & Language,"Literacy, Literature & Writing"
1165928,1dfec2d19c472d88d1a3094cea9f085b,118c332b6ada7b6406a88434d0287bbb,25.0,Oakland,Building Book Worms with a Classroom Library!,Teacher-Led,Books,Literacy & Language,"Literacy, Literature & Writing"
1165943,98e23a3d1042bee010ab06b88682a8bb,11e9840b9e02f448886463d8b6639a72,50.0,Oakland,Adding Color and Dimension to Our Notebooks!,Teacher-Led,Art Supplies,"Literacy & Language, Math & Science","Literature & Writing, Mathematics"
1165944,06feac4e669399e4a72b4f3e2b9deae1,11e9840b9e02f448886463d8b6639a72,50.0,Oakland,Adding Color and Dimension to Our Notebooks!,Teacher-Led,Art Supplies,"Literacy & Language, Math & Science","Literature & Writing, Mathematics"
1165945,4096dc71b67832f3a09df04c39423407,11e9840b9e02f448886463d8b6639a72,50.0,Oakland,Adding Color and Dimension to Our Notebooks!,Teacher-Led,Art Supplies,"Literacy & Language, Math & Science","Literature & Writing, Mathematics"
1165954,d2fa47147939f424c6fc60ccde05cf6c,14f31838883ab4ddcda95bb007eceaca,25.0,Oakland,Measurement Outside The Workbook!,Teacher-Led,Educational Kits & Games,Math & Science,Mathematics
1166012,99bae082b256ebefb23c8d1a58d6d4d4,280e55fd93844804f49f638ec2e5ee96,500.0,Oakland,Class Sets for Class Acts!,Teacher-Led,Books,Literacy & Language,"Literacy, Literature & Writing"
1166055,c6243110936179cac453a0f6587fd773,386cc110b22301eaeaffb8b99ee0f416,100.0,Oakland,"Full STEAM Ahead, Longhorns!",Teacher-Led,"Reading Nooks, Desks & Storage","Math & Science, Literacy & Language","Applied Sciences, ESL"
1166056,96143728c77651f5562cb128a5782ee9,386cc110b22301eaeaffb8b99ee0f416,100.0,Oakland,"Full STEAM Ahead, Longhorns!",Teacher-Led,"Reading Nooks, Desks & Storage","Math & Science, Literacy & Language","Applied Sciences, ESL"
1166058,52bc8cfa1859e7c5884bf26912ce595e,386cc110b22301eaeaffb8b99ee0f416,50.0,Oakland,"Full STEAM Ahead, Longhorns!",Teacher-Led,"Reading Nooks, Desks & Storage","Math & Science, Literacy & Language","Applied Sciences, ESL"
1166061,4aa46fc0ef082c61a9b535b84cee05d7,386cc110b22301eaeaffb8b99ee0f416,50.0,Oakland,"Full STEAM Ahead, Longhorns!",Teacher-Led,"Reading Nooks, Desks & Storage","Math & Science, Literacy & Language","Applied Sciences, ESL"
1166099,411f984c6192b2d15fe4f49352eb3762,458573bfaa6d7b1bb2b75ef2071c0502,25.0,Oakland,Listen Up!,Teacher-Led,Instructional Technology,"Literacy & Language, Math & Science","Literacy, Mathematics"
1166122,49d52708073c340f3c52e09dbcacaff1,47733042fe8e9e78e740dfed3e9507e1,5.0,Oakland,Good Fit Books For 3rd Graders!,Teacher-Led,Books,Literacy & Language,"ESL, Literacy"
1166124,4aa390388757144d86934a387f595a5a,47733042fe8e9e78e740dfed3e9507e1,50.0,Oakland,Good Fit Books For 3rd Graders!,Teacher-Led,Books,Literacy & Language,"ESL, Literacy"
1166125,5850fb1a8b938202ca39e1d824945c64,47733042fe8e9e78e740dfed3e9507e1,100.0,Oakland,Good Fit Books For 3rd Graders!,Teacher-Led,Books,Literacy & Language,"ESL, Literacy"
1166155,aebfe35e470e9ec557d9f493af816571,49eeb48ba505b23362284cc9f36022af,10.0,Oakland,Math and Science Grand Canyon Expedition,Teacher-Led,Trips,Math & Science,"Environmental Science, Mathematics"
1166180,52c6fe7506faf5a21dc74e75f26e3446,50a9b37edd505b64fdc73d251096812a,50.0,Oakland,Our School Needs a Library!,Teacher-Led,Books,Literacy & Language,Literacy
1166189,c6243110936179cac453a0f6587fd773,545db022e106877b9386b515a49fdff8,150.0,Oakland,E-Learning for Our Youngest Students!,Teacher-Led,Technology,Math & Science,Applied Sciences
1166220,978021fa8a129c984ff038745c524eed,5761e83244dd4e843feea37dfa3f59d9,200.0,Oakland,Satisfy Our Thirst for Spanish Books!,Teacher-Led,Books,Literacy & Language,"ESL, Literacy"
1166249,99bae082b256ebefb23c8d1a58d6d4d4,61cddcb4e9dcaec67c1bc73ee7307e98,131.0,Oakland,"Building a Garden Community, One Seed At a Time!",Teacher-Led,Lab Equipment,Math & Science,Environmental Science
1166301,6c2a781e1dfc1009f07afc119182b890,6ecf5e74391787defd5a65f85725a250,50.0,Oakland,Build a Better Bookshelf!,Teacher-Led,Books,Literacy & Language,"Literacy, Literature & Writing"
1166413,b41b09355ee8a8453018c12aa411b737,8e215a206b4f5547cadd5208031ecb20,50.0,Oakland,Power to the Pupils #3,Teacher-Led,Books,Literacy & Language,"ESL, Literacy"
1166477,49d52708073c340f3c52e09dbcacaff1,9b069260f36e02fb09bbc127ee77b041,15.0,Oakland,Chromebooks in the Classroom for English Language Learners,Teacher-Led,Technology,"Literacy & Language, Math & Science","ESL, Mathematics"
1166478,dcf3500cfed99f2d9dee233dd67a32aa,9b069260f36e02fb09bbc127ee77b041,5.0,Oakland,Chromebooks in the Classroom for English Language Learners,Teacher-Led,Technology,"Literacy & Language, Math & Science","ESL, Mathematics"
1166479,4ecaaf5408d989dd82feccb668cc7665,9b069260f36e02fb09bbc127ee77b041,80.0,Oakland,Chromebooks in the Classroom for English Language Learners,Teacher-Led,Technology,"Literacy & Language, Math & Science","ESL, Mathematics"
1166480,b14805d076a07259b2f2c3a9574471d4,9b069260f36e02fb09bbc127ee77b041,25.0,Oakland,Chromebooks in the Classroom for English Language Learners,Teacher-Led,Technology,"Literacy & Language, Math & Science","ESL, Mathematics"
1166489,8f4608e737682a4eddb485c82a99940f,9b09ad5bfc79609a97578fca7903c25c,100.0,Oakland,National Park Research for Street Smart Kids,Teacher-Led,Trips,Math & Science,"Applied Sciences, Environmental Science"
1166594,b41b09355ee8a8453018c12aa411b737,b2901e588bd16fd0fcc775e4bcd859f2,50.0,Oakland,Indigenizing Education,Teacher-Led,Books,History & Civics,Social Sciences
1166595,a77fb8d4f19a5ff8263012148bc0f2a4,b2901e588bd16fd0fcc775e4bcd859f2,30.0,Oakland,Indigenizing Education,Teacher-Led,Books,History & Civics,Social Sciences
1166678,c85d8c733cc0636275320d34937503ea,c1900dd33aad166575ce1af87d492328,5.0,Oakland,"Oh, the Horror!: High-Interest Books for Low Readers",Teacher-Led,Books,Literacy & Language,"Literacy, Literature & Writing"
1166698,6d9aed9481b3800c318bc88f952d3c7f,cc6ba873f3ee7e74ef6da6c9058e4829,20.0,Oakland,We Love to Read! ,Teacher-Led,Books,Literacy & Language,"ESL, Literacy"
1166699,81877e84ec3d1cec93073f03b511c062,cc6ba873f3ee7e74ef6da6c9058e4829,20.0,Oakland,We Love to Read! ,Teacher-Led,Books,Literacy & Language,"ESL, Literacy"
1166731,557f941679b35fef711a0a50692fc62f,d67e73c9f07602d45ba7d5a7e685a66d,200.0,Oakland,Creating Amazing Engineers!,Teacher-Led,Computers & Tablets,Math & Science,Applied Sciences
1166800,dbd3369e59dba703538307ec2928dffa,ebeaa61f584996017d320360f14695dd,40.0,Oakland,Observation and Thinking: Science in the Field,Teacher-Led,Supplies,Math & Science,"Applied Sciences, Health & Life Science"
1166868,0de0ceb831a1c06c42cc7cf4c5c20faf,a467fca0159cbe086e6ef9139d3e73a5,50.0,Oakland,Art Supplies for Civic Engagement Class,Teacher-Led,Supplies,History & Civics,"Civics & Government, Social Sciences"
1166870,04cf82d179a4291b6bfead71db969cb4,a467fca0159cbe086e6ef9139d3e73a5,50.0,Oakland,Art Supplies for Civic Engagement Class,Teacher-Led,Supplies,History & Civics,"Civics & Government, Social Sciences"
1166882,a2343584bb582015fe8cc6e38976e488,0bd7a063a0f25351dcd6f192ba9f713c,20.0,Oakland,White Water Rafting and other Swimming Adventures!,Teacher-Led,Trips,Health & Sports,Health & Wellness
1166883,d0582b57fdae2cd5d3c948859d0bb95e,0bd7a063a0f25351dcd6f192ba9f713c,25.0,Oakland,White Water Rafting and other Swimming Adventures!,Teacher-Led,Trips,Health & Sports,Health & Wellness
1166884,6caf36b60ee13983fd6885c94997038e,0bd7a063a0f25351dcd6f192ba9f713c,155.86,Oakland,White Water Rafting and other Swimming Adventures!,Teacher-Led,Trips,Health & Sports,Health & Wellness
1166885,87afa3597918279a23f947d23ae25767,0bd7a063a0f25351dcd6f192ba9f713c,250.0,Oakland,White Water Rafting and other Swimming Adventures!,Teacher-Led,Trips,Health & Sports,Health & Wellness
1166887,904105ddf8c757d764faaa29d6f1ed7e,0bd7a063a0f25351dcd6f192ba9f713c,25.0,Oakland,White Water Rafting and other Swimming Adventures!,Teacher-Led,Trips,Health & Sports,Health & Wellness
1166888,a9a105d6e258f9a92128c0d40babc085,0bd7a063a0f25351dcd6f192ba9f713c,50.0,Oakland,White Water Rafting and other Swimming Adventures!,Teacher-Led,Trips,Health & Sports,Health & Wellness
1166889,ba981619279f411cfcaa699b1ae9a3e6,0bd7a063a0f25351dcd6f192ba9f713c,40.0,Oakland,White Water Rafting and other Swimming Adventures!,Teacher-Led,Trips,Health & Sports,Health & Wellness
1166891,a2343584bb582015fe8cc6e38976e488,1675c8eb6af90c555cb6dfd00145d3ff,200.0,Oakland,Love Your IPad? Love Math and Science? Love Our Project!,Teacher-Led,Technology,Math & Science,"Applied Sciences, Mathematics"
1166893,a2343584bb582015fe8cc6e38976e488,33262eccd95b21bf7154baf5115577af,50.0,Oakland,Creative Learners in Need of Creative Learning Devices,Teacher-Led,Technology,Special Needs,Special Needs
1166894,a2343584bb582015fe8cc6e38976e488,3c6a5a45619d5625aab89f3e84e70a9a,25.0,Oakland,Every Year I Have At Least One Scientist...,Teacher-Led,Supplies,"Math & Science, Literacy & Language","Applied Sciences, Literacy"
1166905,a2343584bb582015fe8cc6e38976e488,80550d523df272c623c852bfddc268a8,99.0,Oakland,Headphones to Increase Knowledge,Teacher-Led,Instructional Technology,Literacy & Language,"Literacy, Literature & Writing"
1166917,a2343584bb582015fe8cc6e38976e488,b6b703366d4868a0d31db748a1fbe4aa,129.55,Oakland,Set Up For Success!,Teacher-Led,Supplies,"Literacy & Language, Math & Science","Literacy, Mathematics"
1166924,a2343584bb582015fe8cc6e38976e488,d8912fc0302498342030c9e679200495,20.0,Oakland,Oooh...Little Bellies...Empty Again!,Teacher-Led,Supplies,"Warmth, Care & Hunger","Warmth, Care & Hunger"
1166930,a2343584bb582015fe8cc6e38976e488,e028d6fee24acd31faf5323c033cc30f,25.0,Oakland,"Move Over, Textbook! Games to the Rescue!",Teacher-Led,Supplies,Math & Science,Mathematics
1166938,aebfe35e470e9ec557d9f493af816571,0fe971fc460dfea83a04a6d2ecd7d3d5,10.0,Oakland,Send Top Graduating Seniors to Tahoe and Great America!,Teacher-Led,Trips,Applied Learning,"Extracurricular, Other"
1166939,aebfe35e470e9ec557d9f493af816571,62b0f149ebac5a2647aff724675f0da0,1.0,Oakland,Let's Get Organized!,Teacher-Led,Supplies,"Literacy & Language, Math & Science","Literacy, Mathematics"
1166940,49d52708073c340f3c52e09dbcacaff1,62b0f149ebac5a2647aff724675f0da0,5.0,Oakland,Let's Get Organized!,Teacher-Led,Supplies,"Literacy & Language, Math & Science","Literacy, Mathematics"
1166941,4aa390388757144d86934a387f595a5a,62b0f149ebac5a2647aff724675f0da0,25.0,Oakland,Let's Get Organized!,Teacher-Led,Supplies,"Literacy & Language, Math & Science","Literacy, Mathematics"
1166942,aebfe35e470e9ec557d9f493af816571,751326c5bb9614f033e23c1dfc0459d9,10.0,Oakland,Send Top Graduating Seniors to Great America!,Teacher-Led,Trips,Applied Learning,"Extracurricular, Other"
1166943,aebfe35e470e9ec557d9f493af816571,8648917bac48feac915c088b1343c6c7,30.0,Oakland,Journals Needed For Inquiry-Based Science Labs,Teacher-Led,Supplies,"Math & Science, Literacy & Language","Environmental Science, Literacy"
1166946,aebfe35e470e9ec557d9f493af816571,a506d431423b8fc5b332887c074ed73d,10.0,Oakland,Take us to the Rapids!,Teacher-Led,Trips,"Applied Learning, Health & Sports","Character Education, Health & Wellness"
1166951,9ff0eaac6172ee55c9b52d8f3caace96,a506d431423b8fc5b332887c074ed73d,50.0,Oakland,Take us to the Rapids!,Teacher-Led,Trips,"Applied Learning, Health & Sports","Character Education, Health & Wellness"
1166952,aebfe35e470e9ec557d9f493af816571,a672ce5b5149783c7dc361cd1310aa1a,25.0,Oakland,Ancestry Search For Black Student Union,Teacher-Led,Supplies,"History & Civics, Applied Learning","History & Geography, Parent Involvement"
1166954,ad4bc861f3a7ad03a700416cce0fb686,a672ce5b5149783c7dc361cd1310aa1a,50.0,Oakland,Ancestry Search For Black Student Union,Teacher-Led,Supplies,"History & Civics, Applied Learning","History & Geography, Parent Involvement"
1166955,ab2d68bb5e9cb47e6c0dc67dd3dc9089,a672ce5b5149783c7dc361cd1310aa1a,100.0,Oakland,Ancestry Search For Black Student Union,Teacher-Led,Supplies,"History & Civics, Applied Learning","History & Geography, Parent Involvement"
1166960,41f26d9ed5791c4b93bfc8fb175ad286,a672ce5b5149783c7dc361cd1310aa1a,30.0,Oakland,Ancestry Search For Black Student Union,Teacher-Led,Supplies,"History & Civics, Applied Learning","History & Geography, Parent Involvement"
1166964,84a3932f1ad7d17f2f1c456667d8e349,a672ce5b5149783c7dc361cd1310aa1a,30.0,Oakland,Ancestry Search For Black Student Union,Teacher-Led,Supplies,"History & Civics, Applied Learning","History & Geography, Parent Involvement"
1166966,a4cf5c20810ba740bcf865b52a773813,a672ce5b5149783c7dc361cd1310aa1a,50.0,Oakland,Ancestry Search For Black Student Union,Teacher-Led,Supplies,"History & Civics, Applied Learning","History & Geography, Parent Involvement"
1166968,d1ae355a166be316e6f2761ad8120a23,a672ce5b5149783c7dc361cd1310aa1a,20.0,Oakland,Ancestry Search For Black Student Union,Teacher-Led,Supplies,"History & Civics, Applied Learning","History & Geography, Parent Involvement"
1166970,f6b538e687904dab670af64b48e14866,a672ce5b5149783c7dc361cd1310aa1a,50.0,Oakland,Ancestry Search For Black Student Union,Teacher-Led,Supplies,"History & Civics, Applied Learning","History & Geography, Parent Involvement"
1166971,aebfe35e470e9ec557d9f493af816571,e82e74f8e73e8aaa7d3c0d68c7f30f4e,10.0,Oakland,,,,,
1166972,a35228db73d146a33304860bedbdab9a,e82e74f8e73e8aaa7d3c0d68c7f30f4e,200.0,Oakland,,,,,
1166973,aebfe35e470e9ec557d9f493af816571,ee311750c99f9ee20e2ed2e213d55883,25.0,Oakland,"Reading ""Fahrenheit 451"" by Ray Bradbury",Teacher-Led,Books,"Literacy & Language, Special Needs","Literacy, Special Needs"
1166976,aebfe35e470e9ec557d9f493af816571,fe23d544f05cc3908e4143a7b6039b12,5.0,Oakland,Creating an Interactive Classroom Through Technology,Teacher-Led,Technology,"Literacy & Language, Music & The Arts","Literacy, Performing Arts"
