,Project Type,Project Resource Category,Project Subject Category Tree,Project Subject Subcategory Tree,projtype_id
1767549,Teacher-Led,Flexible Seating,Literacy & Language,Literature & Writing,319
1767560,Teacher-Led,Educational Kits & Games,"Applied Learning, Literacy & Language","Early Development, Literacy",320
1767567,Teacher-Led,Flexible Seating,"Applied Learning, Literacy & Language","Early Development, Literacy",321
1771634,Student-Led,Technology,"History & Civics, Music & The Arts","Civics & Government, Visual Arts",322
1780455,Teacher-Led,"Reading Nooks, Desks & Storage",Math & Science,"Applied Sciences, Mathematics",323
1784379,Teacher-Led,Trips,"Math & Science, Applied Learning","Applied Sciences, Parent Involvement",324
1784967,Professional Development,Trips,History & Civics,"History & Geography, Social Sciences",325
1786144,Teacher-Led,Other,"Math & Science, History & Civics","Health & Life Science, Social Sciences",326
1786315,Teacher-Led,Other,Applied Learning,"Character Education, Other",327
1787343,Teacher-Led,Technology,"Music & The Arts, Applied Learning","Music, Other",328
1788015,Teacher-Led,Supplies,"Health & Sports, Math & Science","Health & Wellness, Mathematics",329
1791889,Teacher-Led,Computers & Tablets,"Applied Learning, Literacy & Language","Extracurricular, Literature & Writing",330
1800443,Teacher-Led,Lab Equipment,"Math & Science, Applied Learning","Applied Sciences, College & Career Prep",331
1802177,Teacher-Led,Educational Kits & Games,"Applied Learning, Health & Sports","Early Development, Gym & Fitness",332
1807564,Teacher-Led,Technology,"History & Civics, Music & The Arts","Civics & Government, Visual Arts",333
1811144,Teacher-Led,Trips,Math & Science,"Applied Sciences, Health & Life Science",334
1814360,Teacher-Led,Other,Applied Learning,"Community Service, Extracurricular",335
1815282,Teacher-Led,Technology,Applied Learning,"College & Career Prep, Extracurricular",336
1816183,Teacher-Led,Supplies,"Math & Science, History & Civics","Health & Life Science, Social Sciences",337
1838215,Teacher-Led,Trips,"Applied Learning, History & Civics","Character Education, History & Geography",338
1841652,Teacher-Led,Instructional Technology,Literacy & Language,Literature & Writing,339
1844791,Teacher-Led,Lab Equipment,Literacy & Language,"Literacy, Literature & Writing",340
1852840,Professional Development,Supplies,Math & Science,Mathematics,341
1862538,Teacher-Led,Flexible Seating,"Health & Sports, Literacy & Language","Health & Wellness, Literacy",342
1862582,Teacher-Led,Computers & Tablets,"History & Civics, Literacy & Language","Civics & Government, Literature & Writing",343
1868609,Student-Led,Supplies,Math & Science,"Applied Sciences, Environmental Science",344
1868651,Teacher-Led,Supplies,"History & Civics, Special Needs","Social Sciences, Special Needs",345
1868910,Teacher-Led,Educational Kits & Games,Applied Learning,"Character Education, Parent Involvement",346
1871050,Teacher-Led,Computers & Tablets,"Literacy & Language, History & Civics","Literature & Writing, Social Sciences",347
1871075,Teacher-Led,Flexible Seating,"Applied Learning, Special Needs","Other, Special Needs",348
1874989,Teacher-Led,Books,"Literacy & Language, Music & The Arts","ESL, Visual Arts",349
1875003,Teacher-Led,Trips,"Applied Learning, History & Civics","Character Education, Social Sciences",350
1875005,Teacher-Led,Trips,Literacy & Language,"ESL, Literacy",351
1879252,Student-Led,Books,"Applied Learning, Music & The Arts","Community Service, Visual Arts",352
1879279,Teacher-Led,Trips,Math & Science,Mathematics,353
1881603,Teacher-Led,Educational Kits & Games,Literacy & Language,Literature & Writing,354
1882921,Teacher-Led,Books,"Literacy & Language, Music & The Arts","Foreign Languages, Visual Arts",355
1883126,Professional Development,Books,"Applied Learning, History & Civics","Character Education, Civics & Government",356
1895024,Teacher-Led,Books,History & Civics,"Civics & Government, Social Sciences",357
1895069,Professional Development,Technology,"Literacy & Language, Special Needs","Literacy, Special Needs",358
1895106,Teacher-Led,Trips,Health & Sports,"Gym & Fitness, Health & Wellness",359
1895515,Teacher-Led,Technology,"Applied Learning, Math & Science","Early Development, Health & Life Science",360
1900804,Teacher-Led,Technology,"Applied Learning, Music & The Arts","Community Service, Visual Arts",361
1909363,Teacher-Led,Trips,Literacy & Language,"Literacy, Literature & Writing",362
1914860,Teacher-Led,Visitors,"History & Civics, Music & The Arts","Civics & Government, Performing Arts",363
1918599,Teacher-Led,Supplies,History & Civics,"Civics & Government, History & Geography",364
1920023,Student-Led,Technology,Math & Science,Applied Sciences,365
1930783,Professional Development,Trips,Literacy & Language,"ESL, Literacy",366
1940150,Teacher-Led,Art Supplies,"Applied Learning, Music & The Arts","Parent Involvement, Visual Arts",367
1945897,Teacher-Led,Supplies,History & Civics,"Economics, History & Geography",368
1951467,Professional Development,Books,Math & Science,"Health & Life Science, Mathematics",369
1958525,Teacher-Led,Books,"Literacy & Language, Health & Sports","ESL, Health & Wellness",370
1960809,Teacher-Led,Books,Applied Learning,"Character Education, Extracurricular",371
1967396,Teacher-Led,Technology,Applied Learning,"Character Education, College & Career Prep",372
1968862,Teacher-Led,Lab Equipment,Math & Science,"Applied Sciences, Mathematics",373
1968868,Teacher-Led,Instructional Technology,History & Civics,"Civics & Government, Social Sciences",374
1968892,Teacher-Led,Instructional Technology,"Literacy & Language, Applied Learning","Literacy, Other",375
1968959,Teacher-Led,Lab Equipment,Applied Learning,"College & Career Prep, Other",376
1969025,Teacher-Led,Art Supplies,"Applied Learning, Music & The Arts","Community Service, Visual Arts",377
1969102,Teacher-Led,Flexible Seating,"Math & Science, Health & Sports","Health & Life Science, Health & Wellness",378
1969114,Teacher-Led,Visitors,Math & Science,"Applied Sciences, Environmental Science",379
1969168,Professional Development,Trips,"History & Civics, Special Needs","Financial Literacy, Special Needs",380
1970044,Teacher-Led,Classroom Basics,"Literacy & Language, Special Needs","ESL, Special Needs",381
1972392,Teacher-Led,Supplies,"Math & Science, Health & Sports","Applied Sciences, Gym & Fitness",382
1975604,Teacher-Led,Other,"Applied Learning, Health & Sports","Extracurricular, Health & Wellness",383
1980553,Teacher-Led,Other,Applied Learning,Character Education,384
1984114,Student-Led,Other,Music & The Arts,"Music, Performing Arts",385
1987903,Teacher-Led,Trips,"Applied Learning, History & Civics","College & Career Prep, History & Geography",386
1991401,Teacher-Led,Visitors,"History & Civics, Music & The Arts","History & Geography, Visual Arts",387
1992972,Teacher-Led,Books,"Math & Science, Music & The Arts","Applied Sciences, Music",388
1993928,Professional Development,Trips,"Applied Learning, Literacy & Language","Character Education, Literacy",389
1994204,Teacher-Led,Visitors,"Applied Learning, Literacy & Language","College & Career Prep, Literature & Writing",390
1996296,Teacher-Led,Supplies,"Math & Science, Health & Sports","Applied Sciences, Nutrition Education",391
1999597,Teacher-Led,"Food, Clothing & Hygiene",Health & Sports,"Health & Wellness, Nutrition Education",392
2000473,Teacher-Led,Technology,"Math & Science, Special Needs","Environmental Science, Special Needs",393
2014416,Teacher-Led,Musical Instruments,Music & The Arts,Music,394
2014549,Teacher-Led,Other,"Applied Learning, History & Civics","College & Career Prep, Economics",395
2014874,Teacher-Led,Other,"Literacy & Language, Music & The Arts","Literature & Writing, Visual Arts",396
2019730,Teacher-Led,Visitors,Health & Sports,"Health & Wellness, Team Sports",397
2025530,Teacher-Led,Supplies,"Applied Learning, History & Civics","College & Career Prep, History & Geography",398
2030071,Teacher-Led,Books,"Math & Science, Literacy & Language","Applied Sciences, Foreign Languages",399
2030803,Teacher-Led,Books,"Literacy & Language, Music & The Arts","Literature & Writing, Music",400
2031679,Teacher-Led,Educational Kits & Games,"History & Civics, Special Needs","Social Sciences, Special Needs",401
2036183,Teacher-Led,Computers & Tablets,Literacy & Language,"Literacy, Literature & Writing",402
2038216,Teacher-Led,Supplies,"Math & Science, Health & Sports","Environmental Science, Nutrition Education",403
2040190,Teacher-Led,Educational Kits & Games,Literacy & Language,ESL,404
2058015,Teacher-Led,Books,"Math & Science, History & Civics","Environmental Science, History & Geography",405
2058947,Teacher-Led,Lab Equipment,Math & Science,"Applied Sciences, Environmental Science",406
2061767,Teacher-Led,Books,"History & Civics, Math & Science","History & Geography, Mathematics",407
2062868,Teacher-Led,Trips,Math & Science,Health & Life Science,408
2067971,Teacher-Led,Trips,"Literacy & Language, Health & Sports","ESL, Health & Wellness",409
2070541,Teacher-Led,Other,"Applied Learning, Music & The Arts","Extracurricular, Visual Arts",410
2081530,Teacher-Led,Art Supplies,"Literacy & Language, Music & The Arts","Literature & Writing, Visual Arts",411
2081734,Teacher-Led,"Reading Nooks, Desks & Storage",Literacy & Language,"ESL, Literature & Writing",412
2084241,Teacher-Led,Instructional Technology,"Applied Learning, Music & The Arts","College & Career Prep, Visual Arts",413
2087476,Student-Led,Other,Math & Science,Environmental Science,414
2089771,Professional Development,Books,"Literacy & Language, Applied Learning","Foreign Languages, Parent Involvement",415
2095701,Teacher-Led,Trips,Math & Science,"Applied Sciences, Mathematics",416
2096114,Student-Led,Technology,"Applied Learning, Music & The Arts","College & Career Prep, Visual Arts",417
2096135,Professional Development,Technology,"Literacy & Language, Math & Science","Literature & Writing, Mathematics",418
2096163,Teacher-Led,Books,"History & Civics, Literacy & Language","Civics & Government, Foreign Languages",419
2096187,Teacher-Led,Supplies,"Music & The Arts, Special Needs","Music, Special Needs",420
2108710,Teacher-Led,Computers & Tablets,"Literacy & Language, Math & Science","ESL, Mathematics",421
2114112,Teacher-Led,Technology,"History & Civics, Music & The Arts","Social Sciences, Visual Arts",422
2115590,Teacher-Led,Books,Applied Learning,"Character Education, Community Service",423
2133902,Professional Development,Visitors,Health & Sports,Health & Wellness,424
2134716,Professional Development,Trips,Music & The Arts,"Performing Arts, Visual Arts",425
2138769,Teacher-Led,Trips,Applied Learning,"College & Career Prep, Parent Involvement",426
2143852,Teacher-Led,Classroom Basics,"Applied Learning, Special Needs","Other, Special Needs",427
2149225,Teacher-Led,Trips,"Literacy & Language, Music & The Arts","Literacy, Performing Arts",428
2149679,Teacher-Led,Flexible Seating,Math & Science,"Environmental Science, Mathematics",429
2154134,Teacher-Led,Technology,"Health & Sports, Music & The Arts","Gym & Fitness, Performing Arts",430
2155284,Teacher-Led,Technology,"Applied Learning, History & Civics","Parent Involvement, Social Sciences",431
2159466,Teacher-Led,Trips,"History & Civics, Special Needs","History & Geography, Special Needs",432
2160777,Teacher-Led,Trips,"Applied Learning, Special Needs","Parent Involvement, Special Needs",433
2163560,Teacher-Led,Other,Health & Sports,Gym & Fitness,434
2174570,Teacher-Led,"Food, Clothing & Hygiene",Health & Sports,Health & Wellness,435
2179217,Student-Led,Books,Literacy & Language,Literacy,436
2183840,Professional Development,Technology,Math & Science,Mathematics,437
2187246,Teacher-Led,Technology,"Health & Sports, Music & The Arts","Health & Wellness, Performing Arts",438
2202532,Teacher-Led,Computers & Tablets,"Applied Learning, Math & Science","College & Career Prep, Mathematics",439
2210074,Teacher-Led,Technology,History & Civics,Civics & Government,440
2210226,Teacher-Led,Supplies,"Applied Learning, Math & Science","College & Career Prep, Environmental Science",441
2212347,Teacher-Led,Supplies,"History & Civics, Special Needs","Financial Literacy, Special Needs",442
2217051,Teacher-Led,Other,"Math & Science, Health & Sports","Mathematics, Team Sports",443
2227439,Teacher-Led,Other,Literacy & Language,"Foreign Languages, Literacy",444
2227460,Teacher-Led,Technology,Applied Learning,"Other, Parent Involvement",445
2227739,Teacher-Led,Visitors,Math & Science,Mathematics,446
2227880,Teacher-Led,Supplies,"Math & Science, Applied Learning","Applied Sciences, Extracurricular",447
2227922,Teacher-Led,Classroom Basics,"Health & Sports, Special Needs","Health & Wellness, Special Needs",448
2233350,Teacher-Led,Supplies,"History & Civics, Music & The Arts","History & Geography, Performing Arts",449
2236530,Teacher-Led,Books,"Applied Learning, Literacy & Language","Extracurricular, Literacy",450
2236550,Teacher-Led,Art Supplies,Literacy & Language,"ESL, Literacy",451
2236653,Teacher-Led,Technology,"Applied Learning, Special Needs","Character Education, Special Needs",452
2241367,Teacher-Led,Classroom Basics,"Literacy & Language, Special Needs","Literature & Writing, Special Needs",453
2241536,Student-Led,Supplies,Applied Learning,"College & Career Prep, Extracurricular",454
2247875,Teacher-Led,Other,Applied Learning,"Extracurricular, Other",455
2252209,Teacher-Led,Supplies,"Special Needs, Health & Sports","Special Needs, Team Sports",456
2252216,Teacher-Led,Art Supplies,"Literacy & Language, Math & Science","Literacy, Mathematics",457
2252632,Teacher-Led,Books,"Health & Sports, Special Needs","Health & Wellness, Special Needs",458
2253672,Teacher-Led,Books,"Math & Science, Music & The Arts","Mathematics, Music",459
2263838,Teacher-Led,Educational Kits & Games,Applied Learning,"Character Education, Extracurricular",460
2263855,Teacher-Led,Other,"Literacy & Language, Math & Science","ESL, Mathematics",461
2263891,Teacher-Led,Educational Kits & Games,Literacy & Language,Literacy,462
2263904,Teacher-Led,Supplies,"Health & Sports, Literacy & Language","Health & Wellness, Literature & Writing",463
2263931,Teacher-Led,Supplies,Applied Learning,Extracurricular,464
2264085,Teacher-Led,"Reading Nooks, Desks & Storage",Applied Learning,"Character Education, Early Development",465
2264116,Teacher-Led,Trips,"Special Needs, Music & The Arts","Special Needs, Visual Arts",466
2266911,Teacher-Led,Instructional Technology,Math & Science,"Environmental Science, Health & Life Science",467
2269716,Teacher-Led,Technology,"Literacy & Language, Music & The Arts","Foreign Languages, Visual Arts",468
2272004,Teacher-Led,Other,"History & Civics, Music & The Arts","Civics & Government, Visual Arts",469
2272008,Teacher-Led,Supplies,"Applied Learning, Music & The Arts","Parent Involvement, Visual Arts",470
2272019,Teacher-Led,Instructional Technology,Math & Science,"Environmental Science, Mathematics",471
2273181,Teacher-Led,Other,"Math & Science, Special Needs","Mathematics, Special Needs",472
2274245,Teacher-Led,Computers & Tablets,"Math & Science, Music & The Arts","Mathematics, Visual Arts",473
2285576,Teacher-Led,Books,Applied Learning,"Character Education, Early Development",474
2291449,Professional Development,Trips,Special Needs,Special Needs,475
2291498,Teacher-Led,Books,Applied Learning,"College & Career Prep, Community Service",476
2303324,Teacher-Led,Technology,"Applied Learning, Math & Science","Community Service, Environmental Science",477
2303375,Teacher-Led,Supplies,"Literacy & Language, Music & The Arts","Literature & Writing, Music",478
2303813,Teacher-Led,Other,"Literacy & Language, Math & Science","ESL, Environmental Science",479
2304386,Teacher-Led,Visitors,"Math & Science, Special Needs","Environmental Science, Special Needs",480
2304448,Teacher-Led,Trips,"Literacy & Language, Math & Science","ESL, Health & Life Science",481
2329672,Teacher-Led,Technology,"Health & Sports, Applied Learning","Health & Wellness, Parent Involvement",482
2330727,Teacher-Led,Supplies,Applied Learning,"Community Service, Extracurricular",483
2330904,Professional Development,Trips,"History & Civics, Literacy & Language","History & Geography, Literacy",484
2332520,Teacher-Led,Books,"Applied Learning, Literacy & Language","Community Service, Literature & Writing",485
2332887,Teacher-Led,Supplies,"Applied Learning, Music & The Arts","College & Career Prep, Performing Arts",486
2332913,Teacher-Led,Books,History & Civics,Financial Literacy,487
2342225,Student-Led,Classroom Basics,"Applied Learning, Special Needs","Community Service, Special Needs",488
2359631,Teacher-Led,Technology,"Applied Learning, Math & Science","College & Career Prep, Environmental Science",489
2363124,Teacher-Led,Other,Health & Sports,"Health & Wellness, Nutrition Education",490
2364445,Teacher-Led,Supplies,"Math & Science, Music & The Arts","Applied Sciences, Performing Arts",491
2364478,Teacher-Led,Other,Applied Learning,"College & Career Prep, Community Service",492
2368025,Teacher-Led,Other,"Literacy & Language, Music & The Arts","Literature & Writing, Music",493
2370584,Teacher-Led,Technology,"Literacy & Language, Special Needs","Foreign Languages, Special Needs",494
2379487,Student-Led,Technology,Music & The Arts,Visual Arts,495
2385364,Teacher-Led,Instructional Technology,"Literacy & Language, Applied Learning","ESL, Early Development",496
2385383,Teacher-Led,Classroom Basics,Literacy & Language,"ESL, Literature & Writing",497
2385384,Professional Development,Books,Applied Learning,Character Education,498
2385394,Teacher-Led,Books,History & Civics,"Civics & Government, History & Geography",499
2385473,Teacher-Led,"Food, Clothing & Hygiene","Health & Sports, Special Needs","Gym & Fitness, Special Needs",500
2385756,Teacher-Led,Technology,"Health & Sports, Special Needs","Health & Wellness, Special Needs",501
2391881,Teacher-Led,Books,"Math & Science, History & Civics","Health & Life Science, Social Sciences",502
2394462,Teacher-Led,Other,"Math & Science, Music & The Arts","Health & Life Science, Music",503
2395655,Teacher-Led,Supplies,History & Civics,Social Sciences,504
2397263,Professional Development,Trips,Literacy & Language,Literacy,505
2398483,Teacher-Led,Books,"Applied Learning, Music & The Arts","College & Career Prep, Visual Arts",506
2398508,Teacher-Led,Classroom Basics,"Applied Learning, Literacy & Language","College & Career Prep, Literacy",507
2414070,Teacher-Led,Other,"Math & Science, Music & The Arts","Mathematics, Visual Arts",508
2414112,Teacher-Led,"Reading Nooks, Desks & Storage","Applied Learning, Literacy & Language","Early Development, Literature & Writing",509
2414356,Teacher-Led,"Reading Nooks, Desks & Storage",Special Needs,Special Needs,510
2421039,Student-Led,Supplies,Math & Science,"Health & Life Science, Mathematics",511
2421076,Teacher-Led,Computers & Tablets,Applied Learning,"Character Education, College & Career Prep",512
2425771,Teacher-Led,Supplies,Applied Learning,"Community Service, Other",513
2443883,Teacher-Led,Educational Kits & Games,Literacy & Language,"Literacy, Literature & Writing",514
2443886,Teacher-Led,Computers & Tablets,"Math & Science, Literacy & Language","Applied Sciences, Literacy",515
2443923,Teacher-Led,Technology,"History & Civics, Special Needs","History & Geography, Special Needs",516
2443951,Teacher-Led,Other,Literacy & Language,"ESL, Literature & Writing",517
2444473,Student-Led,Supplies,Special Needs,Special Needs,518
2447444,Teacher-Led,Books,Math & Science,"Health & Life Science, Mathematics",519
2449699,Teacher-Led,Trips,"History & Civics, Special Needs","Social Sciences, Special Needs",520
2454762,Teacher-Led,Other,Math & Science,"Environmental Science, Mathematics",521
2456632,Professional Development,Trips,Health & Sports,Health & Wellness,522
2461147,Teacher-Led,Technology,Health & Sports,"Health & Wellness, Nutrition Education",523
2468531,Teacher-Led,Books,"Math & Science, Special Needs","Environmental Science, Special Needs",524
2474470,Teacher-Led,Flexible Seating,"Literacy & Language, Health & Sports","ESL, Health & Wellness",525
2475826,Teacher-Led,Books,Music & The Arts,Performing Arts,526
2475827,Teacher-Led,Supplies,"Math & Science, History & Civics","Applied Sciences, Social Sciences",527
2475837,Teacher-Led,"Reading Nooks, Desks & Storage",Math & Science,"Applied Sciences, Health & Life Science",528
2476081,Teacher-Led,Computers & Tablets,"Literacy & Language, Math & Science","ESL, Health & Life Science",529
2480654,Student-Led,Technology,"Applied Learning, Music & The Arts","Character Education, Visual Arts",530
2485460,Teacher-Led,Instructional Technology,"Literacy & Language, Music & The Arts","Literacy, Visual Arts",531
2488982,Professional Development,Technology,Health & Sports,Gym & Fitness,532
2488986,Professional Development,Technology,Health & Sports,Health & Wellness,533
2490989,Teacher-Led,Books,"Literacy & Language, History & Civics","ESL, Social Sciences",534
2496499,Teacher-Led,Lab Equipment,Math & Science,"Environmental Science, Health & Life Science",535
2504963,Teacher-Led,"Reading Nooks, Desks & Storage",Applied Learning,"Character Education, Other",536
2504975,Teacher-Led,Sports & Exercise Equipment,Literacy & Language,"ESL, Literacy",537
2504979,Teacher-Led,Technology,"Literacy & Language, Music & The Arts","ESL, Visual Arts",538
2505535,Professional Development,Trips,Health & Sports,"Gym & Fitness, Health & Wellness",539
2506643,Teacher-Led,Technology,"Math & Science, History & Civics","Applied Sciences, Social Sciences",540
2509335,Teacher-Led,Sports & Exercise Equipment,Health & Sports,"Health & Wellness, Nutrition Education",541
2516024,Teacher-Led,Supplies,"Applied Learning, Special Needs","College & Career Prep, Special Needs",542
2518851,Teacher-Led,Computers & Tablets,"Math & Science, Special Needs","Health & Life Science, Special Needs",543
2521561,Teacher-Led,Art Supplies,"Math & Science, Music & The Arts","Mathematics, Visual Arts",544
2521599,Teacher-Led,Instructional Technology,"Literacy & Language, Special Needs","Literacy, Special Needs",545
2521612,Teacher-Led,Computers & Tablets,"Math & Science, Special Needs","Mathematics, Special Needs",546
2521621,Teacher-Led,"Food, Clothing & Hygiene",Literacy & Language,Literature & Writing,547
2521630,Teacher-Led,"Reading Nooks, Desks & Storage","Applied Learning, Health & Sports","College & Career Prep, Health & Wellness",548
2523170,Teacher-Led,Supplies,"Applied Learning, Math & Science","Character Education, Health & Life Science",549
2523199,Student-Led,Technology,Math & Science,Health & Life Science,550
2524744,Teacher-Led,Technology,"Applied Learning, Math & Science","Community Service, Health & Life Science",551
2527090,Teacher-Led,Computers & Tablets,History & Civics,History & Geography,552
2530791,Student-Led,Technology,"Applied Learning, Math & Science","College & Career Prep, Health & Life Science",553
2533957,Teacher-Led,Trips,"Math & Science, History & Civics","Applied Sciences, Civics & Government",554
2541902,Teacher-Led,Educational Kits & Games,"Literacy & Language, Music & The Arts","ESL, Performing Arts",555
2541914,Teacher-Led,Books,"Literacy & Language, Special Needs","ESL, Special Needs",556
2541915,Student-Led,Supplies,"Applied Learning, History & Civics","Character Education, Social Sciences",557
2541942,Teacher-Led,Supplies,Applied Learning,"Extracurricular, Other",558
2554540,Student-Led,Technology,"Literacy & Language, History & Civics","Literacy, Social Sciences",559
2555048,Professional Development,Trips,Literacy & Language,Literature & Writing,560
2559458,Teacher-Led,Books,"Applied Learning, Special Needs","Character Education, Special Needs",561
2564428,Teacher-Led,Classroom Basics,"Math & Science, Special Needs","Mathematics, Special Needs",562
2564802,Teacher-Led,Trips,"Applied Learning, Math & Science","Extracurricular, Mathematics",563
2566724,Student-Led,Other,Math & Science,Applied Sciences,564
2578590,Teacher-Led,Art Supplies,"Health & Sports, Special Needs","Health & Wellness, Special Needs",565
2600392,Teacher-Led,Books,Applied Learning,Character Education,566
2601545,Teacher-Led,Supplies,"Math & Science, Literacy & Language","Health & Life Science, Literature & Writing",567
2607484,Teacher-Led,Technology,History & Civics,"Civics & Government, Economics",568
2610518,Teacher-Led,Instructional Technology,"Applied Learning, Music & The Arts","Early Development, Music",569
2610528,Teacher-Led,Classroom Basics,"History & Civics, Special Needs","History & Geography, Special Needs",570
2612885,Teacher-Led,Other,"Literacy & Language, Music & The Arts","Literacy, Music",571
2613595,Teacher-Led,Trips,"Applied Learning, Health & Sports","Extracurricular, Gym & Fitness",572
2619189,Teacher-Led,Art Supplies,"Literacy & Language, Music & The Arts","Literacy, Visual Arts",573
2622529,Teacher-Led,Technology,"Literacy & Language, Math & Science","ESL, Health & Life Science",574
2624745,Student-Led,Trips,Literacy & Language,"Foreign Languages, Literature & Writing",575
2629263,Teacher-Led,Other,Health & Sports,Nutrition Education,576
2629788,Teacher-Led,Supplies,"Literacy & Language, History & Civics","ESL, History & Geography",577
2630141,Teacher-Led,Sports & Exercise Equipment,Math & Science,Mathematics,578
2630474,Teacher-Led,Technology,Applied Learning,"College & Career Prep, Parent Involvement",579
2631039,Teacher-Led,Technology,"Applied Learning, History & Civics","College & Career Prep, Financial Literacy",580
2639211,Teacher-Led,Technology,"Literacy & Language, Music & The Arts","Literacy, Performing Arts",581
2648098,Teacher-Led,Technology,"Math & Science, History & Civics","Health & Life Science, Social Sciences",582
2649457,Teacher-Led,Technology,Music & The Arts,"Music, Visual Arts",583
2650200,Teacher-Led,Educational Kits & Games,"Math & Science, Applied Learning","Applied Sciences, Early Development",584
2651247,Teacher-Led,Computers & Tablets,History & Civics,Civics & Government,585
2652282,Teacher-Led,Trips,"Applied Learning, Math & Science","Community Service, Environmental Science",586
2652306,Professional Development,Trips,Math & Science,"Applied Sciences, Environmental Science",587
2653201,Teacher-Led,Books,"Math & Science, Applied Learning","Applied Sciences, College & Career Prep",588
2655293,Teacher-Led,Technology,"Math & Science, Applied Learning","Mathematics, Other",589
2665135,Teacher-Led,Trips,Applied Learning,Character Education,590
2678620,Teacher-Led,Books,"Math & Science, Literacy & Language","Health & Life Science, Literature & Writing",591
2680404,Teacher-Led,Trips,Music & The Arts,Music,592
2680410,Teacher-Led,"Reading Nooks, Desks & Storage",Literacy & Language,ESL,593
2680462,Teacher-Led,Technology,"Math & Science, Music & The Arts","Applied Sciences, Music",594
2681940,Teacher-Led,Educational Kits & Games,"Math & Science, Special Needs","Applied Sciences, Special Needs",595
2685794,Teacher-Led,Flexible Seating,"Literacy & Language, Special Needs","Literacy, Special Needs",596
2691916,Teacher-Led,Supplies,"Math & Science, Applied Learning","Environmental Science, Other",597
2695237,Teacher-Led,Computers & Tablets,Math & Science,Health & Life Science,598
2695939,Teacher-Led,Instructional Technology,"Math & Science, Special Needs","Mathematics, Special Needs",599
2696852,Teacher-Led,Computers & Tablets,"Math & Science, Special Needs","Environmental Science, Special Needs",600
2699753,Teacher-Led,Trips,"Math & Science, Literacy & Language","Health & Life Science, Literacy",601
2699778,Teacher-Led,Trips,"Math & Science, Music & The Arts","Applied Sciences, Performing Arts",602
2704575,Teacher-Led,Supplies,History & Civics,Civics & Government,603
2711348,Teacher-Led,Supplies,"History & Civics, Literacy & Language","History & Geography, Literacy",604
2714346,Teacher-Led,Supplies,"Applied Learning, Health & Sports","College & Career Prep, Health & Wellness",605
2716851,Teacher-Led,Lab Equipment,Health & Sports,Health & Wellness,606
2716988,Teacher-Led,Other,"Math & Science, Applied Learning","Applied Sciences, Early Development",607
2716997,Teacher-Led,Books,"Health & Sports, Warmth, Care & Hunger","Health & Wellness, Warmth, Care & Hunger",608
2717312,Teacher-Led,Computers & Tablets,Music & The Arts,"Music, Performing Arts",609
2718531,Teacher-Led,Lab Equipment,"Applied Learning, Math & Science","College & Career Prep, Mathematics",610
2727609,Teacher-Led,Technology,"Literacy & Language, Applied Learning","Literature & Writing, Other",611
2731650,Teacher-Led,Supplies,"Literacy & Language, Applied Learning","ESL, Other",612
2732848,Teacher-Led,Other,Music & The Arts,"Performing Arts, Visual Arts",613
2733984,Teacher-Led,Books,"Applied Learning, Literacy & Language","College & Career Prep, Literature & Writing",614
2742587,Teacher-Led,Trips,"Literacy & Language, Music & The Arts","Foreign Languages, Visual Arts",615
2744253,Teacher-Led,Supplies,"Math & Science, Literacy & Language","Environmental Science, Literature & Writing",616
2750431,Teacher-Led,Technology,Literacy & Language,"ESL, Foreign Languages",617
2751217,Teacher-Led,Supplies,"Math & Science, History & Civics","Environmental Science, History & Geography",618
2753607,Teacher-Led,Books,"Literacy & Language, Health & Sports","Literacy, Team Sports",619
2769854,Professional Development,Trips,"Literacy & Language, Math & Science","Literature & Writing, Mathematics",620
2772553,Teacher-Led,Supplies,Applied Learning,"Early Development, Other",621
2773262,Teacher-Led,Trips,Math & Science,"Applied Sciences, Environmental Science",622
2774050,Teacher-Led,Books,"Applied Learning, Literacy & Language","Extracurricular, Literature & Writing",623
2774081,Teacher-Led,Other,"History & Civics, Literacy & Language","History & Geography, Literacy",624
2783651,Teacher-Led,"Reading Nooks, Desks & Storage",Literacy & Language,"ESL, Literacy",625
2785299,Teacher-Led,Educational Kits & Games,Math & Science,Applied Sciences,626
2786232,Teacher-Led,Trips,"Math & Science, Literacy & Language","Environmental Science, Literacy",627
2787188,Teacher-Led,Instructional Technology,"Literacy & Language, Special Needs","Literature & Writing, Special Needs",628
2788282,Teacher-Led,Technology,"Applied Learning, History & Civics","College & Career Prep, History & Geography",629
2793845,Teacher-Led,Supplies,"Health & Sports, Music & The Arts","Health & Wellness, Visual Arts",630
2797859,Teacher-Led,Instructional Technology,"Literacy & Language, Special Needs","ESL, Special Needs",631
2797871,Teacher-Led,Sports & Exercise Equipment,"Health & Sports, Special Needs","Gym & Fitness, Special Needs",632
2797894,Teacher-Led,Flexible Seating,"Literacy & Language, Special Needs","Literature & Writing, Special Needs",633
2805409,Teacher-Led,Trips,"Applied Learning, Math & Science","Character Education, Environmental Science",634
2808707,Teacher-Led,Trips,"Math & Science, Applied Learning","Applied Sciences, Early Development",635
2814748,Teacher-Led,Trips,Math & Science,Applied Sciences,636
2814761,Teacher-Led,Supplies,"Applied Learning, Math & Science","College & Career Prep, Mathematics",637
2814766,Teacher-Led,"Reading Nooks, Desks & Storage","Literacy & Language, Math & Science","Literature & Writing, Mathematics",638
2817383,Teacher-Led,Trips,Math & Science,"Environmental Science, Mathematics",639
